日期,推广计划名称,宝贝名称,关键词,流量来源,搜索类型,展现量,点击量,花费(分),点击率,平均展现排名,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 落地,计算机站内,搜索,3,0,0,0.00,3,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 落地,移动站内,搜索,10,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶扇风扇,计算机站内,搜索,206,0,0,0.00,8,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶扇风扇,移动站内,搜索,1330,44,13145,3.31,2,298.75,9883.46,0.00,0,0,0,0,0,0,1,0,1,0.00,0,0,0
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇家用,计算机站内,搜索,12,0,0,0.00,7,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇家用,移动站内,搜索,16,2,635,12.50,4,317.50,39687.50,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,风扇无叶风扇,计算机站内,搜索,9,0,0,0.00,56,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,风扇无叶风扇,移动站内,搜索,7,0,0,0.00,90,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,冷暖风扇,移动站内,搜索,1,0,0,0.00,33,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,风扇,计算机站内,搜索,128,0,0,0.00,38,,0.00,,,,,,,,,,,,,,
